payment_id;first_name;last_name;middle_name;amount;employee_account;tax_code;birth_date;reason;period
references=payment_id:document(document_number); keyColumns=payment_id,first_name,last_name,middle_name,amount,employee_account,tax_code,birth_date,reason,period
17/2D;Иван;Иванов;Иванович;10;KZ416390122030000365;81240013779;1988-01-01;Системная ошибка;2017-07-12
17/2D;Петр;Петров;Петрович;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-07-12
17/24D;Петр;Петров;Петрович_1;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_2;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_3;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_4;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_5;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_6;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_7;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_8;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_9;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_10;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_11;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_12;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_13;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_14;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_15;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_16;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_17;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_18;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_19;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_20;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_21;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_22;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_23;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_24;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_25;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_26;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_27;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_28;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_29;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_30;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_31;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_32;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_33;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_34;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_35;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_36;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_37;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_38;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_39;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
17/24D;Петр;Петров;Петрович_40;20;KZ026390122040003125;20440002422;1988-01-01;Системная ошибка;2017-05-02
